Cutting of pipework Road Crossing & laying in verge Water Mains,Dust inhalation,FFP-3 face masks to be worn by operatives when cutting and dust suppression water bottle to be used
Connection Diversion on Potable Water Main,Contact with CoSHH substances,Non-perforated gloves to be worn when using
Placing wet concrete , Dermatitis, Respiratory masks to be worn to avoid ingestion from splashes etc
Spraying and painting small areas ,Lung and eye damage. Contact with skin Flying objects and vapours, Operatives to be issued and wear disposable overalls and suitable gloves
marking out/setting out, manual handling bending, use spray gun extension to eliminate bending
delivery or collection of plant and equipment," slips, trips, falls", check that the ground is even before stepping down and maintain a high level of awareness of any hazards on the ground
 marking out/setting out,"Slips, Trips, Falls", Remain alert to your surroundings
Filling of Biogas Main with Biogas,Asphyxiation,Operatives to be confined space trained/ Confined space equipment in place c/w a top man
Filling of Biogas Main with Biogas,Asphyxiation, Personal gas monitors to be worn at all times
use of chipper, impact from moving chipper impact from live traffic, isolated from the public
use of chipper,entanglement with moving chipper parts,all machines guards to be in place and monitored
